Status,Fiber Distance(m),Rx Power(dBm),maintenance_required
active,1973,-16.7,0
active,1199,-20.2,0
active,1926,-26.1,0
active,1315,-20.2,0
active,1419,-19.5,0
active,1980,-18.6,0
active,1418,-19.5,0
active,1918,-25.3,0
active,1858,-18,0
active,1308,-25,0
active,1917,-20.4,0
active,1605,-18.7,0
active,3399,-20.4,0
active,3392,-22,0
active,3274,-22.2,0
active,3368,-24.8,0
active,3474,-23.5,0
active,2957,-24,0
active,3262,-29.2,1
active,2486,-21.5,0
active,2392,-25.6,0
active,2060,-21.7,0
active,1152,-20.1,0
active,1104,-20.1,0
active,1557,-17.2,0
active,1191,-18.9,0
active,2183,-19.5,0
active,1066,-21.1,0
active,1409,-17.5,0
active,1050,-23.7,0
active,2230,-18,0
active,1344,-24.2,0
active,1085,-21.7,0
active,1931,-24.8,0
active,1794,-21.2,0
active,1083,-21.2,0
active,1780,-17.1,0
active,1425,-21.2,0
active,1597,-18.2,0
active,1067,-19,0
active,1827,-19.9,0
active,1910,-18.2,0
active,1618,-26.3,0
active,1649,-22.6,0
active,1417,-29.9,1
active,1090,-17.2,0
active,1387,-21.4,0
active,1641,-18.4,0
active,1224,-17.1,0
active,1399,-22.5,0
active,1499,-26.7,0
active,1178,-21.4,0
active,1852,-24.8,0
active,1377,-30.4,1
active,1864,-26,0
active,1385,-26.1,0
active,1041,-21.7,0
active,1803,-21.6,0
active,1707,-21.6,0
active,1055,-19.9,0
active,1020,-33,1
active,1799,-26.7,0
active,1729,-21.9,0
active,1760,-22.2,0
active,1291,-21.3,0
active,1845,-22.5,0
active,1819,-26.7,0
active,2763,-23,0
active,2848,-21.7,0
active,1668,-21.1,0
active,2624,-22.2,0
active,1668,-21.4,0
active,1813,-23.9,0
active,3008,-22.3,0
active,2797,-22.2,0
active,2337,-28.2,1
active,2361,-23.7,0
active,2235,-27.6,1
active,2309,-30.4,1
active,2350,-27.4,1
active,2301,-29.2,1
active,2399,-22.7,0
active,2347,-25.6,0
active,2344,-24.5,0
active,2362,-27.6,1
active,2504,-27.6,1
active,2255,-28.5,1
active,2302,-29.2,1
active,2214,-24,0
active,2387,-27.2,0
active,2237,-32.2,1
active,2287,-24.5,0
active,2403,-25.5,0
active,2484,-23.9,0
active,2562,-29.2,1
active,2289,-29.5,1
active,2209,-28.2,1
active,2321,-25.3,0
active,2321,-22.2,0
active,2449,-18.2,0
active,1988,-19.3,0
active,2489,-29.5,1
active,2025,-19.4,0
active,2021,-30.4,1
active,717,-27.9,1
active,619,-18.1,0
active,610,-29.2,1
active,668,-17.1,0
active,657,-17.8,0
active,498,-19.4,0
active,4406,-23.2,0
active,4399,-27.6,1
active,4907,-28.5,1
active,4288,-27.2,0
active,4696,-22.5,0
active,4044,-21.9,0
active,653,-25.3,0
active,409,-23.3,0
active,507,-22.5,0
active,662,-21.4,0
active,434,-17.9,0
active,550,-20,0
active,548,-19.6,0
active,4335,-26.9,0
active,5263,-29.9,1
active,4318,-26,0
active,4432,-24.5,0
active,4226,-25.2,0
active,4547,-24,0
active,4305,-28.8,1
active,4341,-23.3,0
active,4511,-26,0
active,4631,-27.6,1
active,5255,-28.2,1
active,5208,-32.2,1
active,4364,-23.1,0
active,1411,-26.3,0
active,1698,-22.1,0
active,887,-27.9,1
active,1440,-16.4,0
active,903,-24.4,0
active,1187,-22.7,0
active,1775,-20.5,0
active,1666,-29.2,1
active,1344,-29.9,1
active,1662,-21.8,0
active,1159,-18.4,0
active,1077,-27.4,1
active,1106,-19.1,0
active,1199,-18.8,0
active,1240,-19.8,0
active,1264,-23.4,0
active,1070,-18.8,0
active,1308,-19,0
active,729,-19.2,0
active,1208,-21.9,0
active,806,-18.5,0
active,814,-17.9,0
active,767,-22.5,0
active,1196,-23.6,0
active,868,-24.9,0
active,1117,-21.7,0
active,773,-24.5,0
active,764,-18.7,0
active,976,-20.6,0
active,826,-26.9,0
active,1065,-25,0
active,1018,-20.4,0
active,946,-21,0
active,955,-27.6,1
active,983,-24.4,0
active,1364,-29.5,1
active,3463,-19.3,0
active,4306,-26.7,0
active,4221,-21.7,0
active,4010,-21.3,0
active,4693,-21.3,0
active,4561,-18.5,0
active,4624,-21.1,0
active,3982,-28.2,1
active,4002,-19.9,0
active,3551,-20.9,0
active,3470,-20.2,0
active,3350,-23.8,0
active,4011,-27.6,1
active,2107,-26.7,0
active,2461,-22.2,0
active,2459,-24.4,0
active,2083,-21,0
active,2145,-23.5,0
active,2742,-26.7,0
active,2638,-20.5,0
active,2742,-23.6,0
active,2615,-28.8,1
active,2141,-25.5,0
active,2174,-19.5,0
active,2233,-21.6,0
active,2219,-21.1,0
active,2180,-22.4,0
active,2557,-17.1,0
active,2338,-21.4,0
active,2146,-22.3,0
active,2162,-19.6,0
active,2621,-18.5,0
active,2362,-28.2,1
active,2289,-18,0
active,2085,-19.4,0
active,2052,-19.7,0
active,2592,-18.6,0
active,2359,-20.4,0
active,2371,-20.5,0
active,2931,-23.6,0
active,2430,-20.8,0
active,2776,-27.6,1
active,2295,-19.7,0
active,2453,-19.5,0
active,2965,-19.3,0
active,2968,-21.9,0
active,2286,-26.7,0
active,2803,-22.1,0
active,2948,-21.1,0
active,2344,-19.2,0
active,2867,-21.4,0
active,1678,-18.5,0
active,1357,-19.5,0
active,1695,-19.9,0
active,1579,-21,0
active,1642,-18.8,0
active,893,-19.5,0
active,1554,-20.9,0
active,1639,-20.7,0
active,1706,-17.9,0
active,1454,-19.1,0
active,1921,-22,0
active,1575,-23.4,0
active,1131,-17,0
active,1091,-19.8,0
active,1437,-21.2,0
active,878,-18,0
active,1378,-17.9,0
active,1301,-24.2,0
active,843,-21.1,0
active,1423,-22,0
active,2038,-24.8,0
active,1730,-21,0
active,1728,-26.5,0
active,2491,-20.2,0
active,2528,-21.9,0
active,2202,-18.4,0
active,2545,-20.2,0
active,2226,-20.8,0
active,1933,-20.5,0
active,1248,-26.7,0
active,1370,-19.3,0
active,1984,-21.1,0
active,1857,-18.9,0
active,1309,-17.2,0
active,1374,-17.8,0
active,1664,-25.5,0
active,1963,-20.4,0
active,1753,-24,0
active,2285,-23.6,0
active,1887,-33,1
active,1617,-23.5,0
active,1959,-21.8,0
active,1691,-21.1,0
active,1683,-20.2,0
active,1828,-23.1,0
active,1784,-18.6,0
active,2224,-20.4,0
active,2460,-24.1,0
active,1446,-26.1,0
active,2200,-20.3,0
active,2476,-21.7,0
active,2475,-17,0
active,1332,-18.8,0
active,1804,-21.8,0
active,1827,-17.7,0
active,2188,-25.6,0
active,2476,-20.5,0
active,1464,-25.8,0
active,2399,-17.9,0
active,2138,-18.5,0
active,1263,-19.3,0
active,2161,-26.5,0
active,2276,-19.3,0
active,2467,-16.8,0
active,1379,-16.9,0
active,2192,-20.8,0
active,1533,-20.4,0
active,1139,-18,0
active,2369,-19.5,0
active,1155,-17.8,0
active,2390,-22.2,0
active,1979,-17.4,0
active,1935,-18.7,0
active,1696,-18.7,0
active,2017,-19.3,0
active,2509,-17.5,0
active,2597,-20.2,0
active,1904,-20.2,0
active,2551,-25.8,0
active,1887,-19.4,0
active,1994,-19.1,0
active,2554,-18.4,0
active,2333,-19.6,0
active,2534,-23,0
active,1965,-17,0
active,2011,-23.2,0
active,2272,-22.5,0
active,2106,-17.6,0
active,1421,-18.8,0
active,1860,-21.4,0
active,1934,-17.2,0
active,1848,-18.5,0
active,1978,-18,0
active,1505,-19.5,0
active,1043,-22.5,0
active,1941,-24.3,0
active,2065,-25.5,0
active,2174,-26.1,0
active,1682,-25.5,0
active,1000,-23.3,0
active,1431,-17.8,0
active,2228,-20.2,0
active,1316,-21.4,0
active,1690,-30.9,1
active,1924,-26.3,0
active,1353,-20.3,0
active,1886,-19.4,0
active,1518,-20.2,0
active,1342,-20.2,0
active,2183,-21.6,0
active,2242,-21.2,0
active,2259,-23.5,0
active,1466,-23.4,0
active,1494,-20.6,0
active,1965,-19.2,0
active,2356,-18.2,0
active,1784,-18.7,0
active,1450,-22,0
active,1832,-21.9,0
active,2355,-21,0
active,1919,-20.6,0
active,2334,-20.3,0
active,1414,-21,0
active,2235,-23.8,0
active,1848,-24.3,0
active,1704,-23.3,0
active,1915,-20.8,0
active,2040,-26.9,0
active,1556,-19.9,0
active,1987,-19.7,0
active,1551,-17.2,0
active,2029,-17.3,0
active,2084,-19.1,0
active,1607,-22.5,0
active,1990,-19.8,0
active,1950,-23.2,0
active,3226,-22.5,0
active,2460,-20.4,0
active,2440,-19,0
active,2641,-30.9,1
active,2420,-21,0
active,2512,-30.4,1
active,2424,-21.9,0
active,2314,-18.9,0
active,3029,-22.7,0
active,2049,-22.7,0
active,2357,-19.7,0
active,2562,-23.1,0
active,3059,-25.8,0
active,2545,-22,0
active,2106,-18.4,0
active,3912,-26.9,0
active,3842,-28.5,1
active,3222,-24.5,0
active,3494,-17.7,0
active,3324,-23.1,0
active,3487,-21.1,0
active,3573,-22.6,0
active,3512,-21.8,0
active,3974,-29.2,1
active,3694,-28.8,1
active,3270,-21.4,0
active,4244,-23.1,0
active,3598,-26.3,0
active,3441,-21.6,0
active,1348,-29.5,1
active,2065,-26.1,0
active,3387,-18.4,0
active,2151,-23.8,0
active,1791,-28.8,1
